INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-04-01T08:00:00-00:00,2022-04-01T09:00:00-00:00,2,2022-04-01,2,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2505.14,2DA,2
2022-04-01T10:00:00-00:00,2022-04-01T11:00:00-00:00,2,2022-04-01,4,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2416.06,2DA,2
2022-04-01T20:00:00-00:00,2022-04-01T21:00:00-00:00,2,2022-04-01,14,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2629.57,2DA,2
2022-04-02T03:00:00-00:00,2022-04-02T04:00:00-00:00,2,2022-04-01,21,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3452.41,2DA,2
2022-04-01T18:00:00-00:00,2022-04-01T19:00:00-00:00,2,2022-04-01,12,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2452.67,2DA,2
2022-04-01T17:00:00-00:00,2022-04-01T18:00:00-00:00,2,2022-04-01,11,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2431.68,2DA,2
2022-04-01T12:00:00-00:00,2022-04-01T13:00:00-00:00,2,2022-04-01,6,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2589.21,2DA,2
2022-04-01T11:00:00-00:00,2022-04-01T12:00:00-00:00,2,2022-04-01,5,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2456.52,2DA,2
2022-04-01T09:00:00-00:00,2022-04-01T10:00:00-00:00,2,2022-04-01,3,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2442.32,2DA,2
2022-04-01T21:00:00-00:00,2022-04-01T22:00:00-00:00,2,2022-04-01,15,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2781.82,2DA,2
2022-04-01T13:00:00-00:00,2022-04-01T14:00:00-00:00,2,2022-04-01,7,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2747.11,2DA,2
2022-04-02T06:00:00-00:00,2022-04-02T07:00:00-00:00,2,2022-04-01,24,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2842.55,2DA,2
2022-04-02T01:00:00-00:00,2022-04-02T02:00:00-00:00,2,2022-04-01,19,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3474.46,2DA,2
2022-04-02T00:00:00-00:00,2022-04-02T01:00:00-00:00,2,2022-04-01,18,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3405.6,2DA,2
2022-04-02T05:00:00-00:00,2022-04-02T06:00:00-00:00,2,2022-04-01,23,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3092.84,2DA,2
2022-04-01T19:00:00-00:00,2022-04-01T20:00:00-00:00,2,2022-04-01,13,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2530.87,2DA,2
2022-04-01T14:00:00-00:00,2022-04-01T15:00:00-00:00,2,2022-04-01,8,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2754.11,2DA,2
2022-04-02T02:00:00-00:00,2022-04-02T03:00:00-00:00,2,2022-04-01,20,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3498.62,2DA,2
2022-04-01T22:00:00-00:00,2022-04-01T23:00:00-00:00,2,2022-04-01,16,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2937.66,2DA,2
2022-04-01T15:00:00-00:00,2022-04-01T16:00:00-00:00,2,2022-04-01,9,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2613.56,2DA,2
2022-04-02T04:00:00-00:00,2022-04-02T05:00:00-00:00,2,2022-04-01,22,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3319.75,2DA,2
2022-04-01T07:00:00-00:00,2022-04-01T08:00:00-00:00,2,2022-04-01,1,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,2599.75,2DA,2
2022-04-01T09:00:00-00:00,2022-04-01T10:00:00-00:00,2,2022-04-01,3,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1291.37,2DA,3
2022-04-01T11:00:00-00:00,2022-04-01T12:00:00-00:00,2,2022-04-01,5,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1323.87,2DA,3
2022-04-02T06:00:00-00:00,2022-04-02T07:00:00-00:00,2,2022-04-01,24,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1480.22,2DA,3
2022-04-01T20:00:00-00:00,2022-04-01T21:00:00-00:00,2,2022-04-01,14,0,2DA,BANC,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1608.32,2DA,3
